node            mean	sd	2.5%	97.5%	Rhat	n.eff
LOR[7,2]	0.4763	0.4554	-0.4697	1.3326	1.001	27000
LOR[8,2]	0.4163	0.4495	-0.5245	1.2546	1.0009	27000
LOR[4,3]	0.3859	0.4718	-0.5612	1.2979	1.0013	5400
LOR[5,3]	0.1841	0.4838	-0.7869	1.1178	1.0012	7200
LOR[6,3]	0.57	0.4456	-0.3413	1.4138	1.0014	4200
LOR[7,3]	0.1999	0.4277	-0.6712	1.0129	1.0015	3500
LOR[8,3]	0.1398	0.4209	-0.7175	0.9257	1.0016	2900
LOR[5,4]	-0.2018	0.3391	-0.8724	0.4602	1.001	23000
LOR[6,4]	0.1841	0.3421	-0.4958	0.845	1.0012	7300
LOR[7,4]	-0.186	0.2842	-0.7574	0.3592	1.001	27000
LOR[8,4]	-0.246	0.2757	-0.8167	0.2703	1.001	20000
LOR[6,5]	0.3859	0.3606	-0.3328	1.0816	1.001	27000
LOR[7,5]	0.0158	0.2997	-0.595	0.5916	1.001	27000
LOR[8,5]	-0.0442	0.2946	-0.6576	0.5085	1.0011	15000
LOR[7,6]	-0.3701	0.2808	-0.9206	0.1769	1.0012	9600
LOR[8,6]	-0.4302	0.2608	-0.9452	0.0749	1.0013	6500
LOR[8,7]	-0.0601	0.1699	-0.4104	0.2636	1.001	27000
LOR[2,1]	-0.973	0.459	-1.8369	-0.0227	1.0011	13000
LOR[3,1]	-0.7006	0.4345	-1.5336	0.1705	1.0011	14000
LOR[4,1]	-0.2876	0.279	-0.8229	0.2869	1.0013	5700
LOR[5,1]	-0.4816	0.2914	-1.0311	0.1058	1.0025	1300
LOR[6,1]	-0.0969	0.274	-0.6336	0.4342	1.002	1800
LOR[7,1]	-0.4634	0.1739	-0.8167	-0.1297	1.0018	2400
LOR[8,1]	-0.525	0.1541	-0.8474	-0.2398	1.0026	1200
LOR[3,2]	0.2724	0.4886	-0.7159	1.221	1.0009	27000
LOR[4,2]	0.6854	0.499	-0.3408	1.6422	1.0011	15000
LOR[5,2]	0.4914	0.5129	-0.5623	1.47	1.0011	14000
LOR[6,2]	0.8761	0.4755	-0.1116	1.7639	1.0011	13000
LOR[7,2]	0.5095	0.4587	-0.4353	1.3627	1.001	27000
LOR[8,2]	0.448	0.4545	-0.506	1.279	1.001	27000
LOR[4,3]	0.413	0.4754	-0.5442	1.3368	1.0011	13000
LOR[5,3]	0.219	0.4884	-0.7682	1.1631	1.0011	11000
LOR[6,3]	0.6037	0.4545	-0.3293	1.4642	1.0012	9700
LOR[7,3]	0.2372	0.4318	-0.6525	1.0567	1.001	27000
LOR[8,3]	0.1756	0.4272	-0.6948	0.9783	1.001	23000
LOR[5,4]	-0.194	0.3429	-0.8749	0.4761	1.0016	3000
LOR[6,4]	0.1907	0.3531	-0.52	0.8679	1.0011	11000
LOR[7,4]	-0.1758	0.2864	-0.7692	0.3614	1.001	19000
LOR[8,4]	-0.2374	0.2827	-0.8282	0.2852	1.0011	17000
LOR[6,5]	0.3847	0.3661	-0.348	1.0947	1.0011	11000
LOR[7,5]	0.0181	0.3013	-0.5943	0.5853	1.0014	4200
LOR[8,5]	-0.0434	0.2954	-0.6451	0.5076	1.0013	5100
LOR[7,6]	-0.3666	0.2852	-0.9339	0.1944	1.0012	9500
LOR[8,6]	-0.4281	0.2679	-0.9638	0.089	1.0011	17000
LOR[8,7]	-0.0615	0.1737	-0.41	0.2742	1.001	27000
LOR[2,1]	-1.0385	0.4606	-1.914	-0.0853	1.0015	3300
LOR[3,1]	-0.7647	0.4337	-1.5876	0.1245	1.0012	8200
LOR[4,1]	-0.3451	0.2812	-0.8717	0.2288	1.0017	2600
LOR[5,1]	-0.54	0.299	-1.1019	0.0654	1.0021	1800
LOR[6,1]	-0.1564	0.2743	-0.7094	0.3673	1.0013	5900
LOR[7,1]	-0.5031	0.1761	-0.8587	-0.1669	1.0024	1400
LOR[8,1]	-0.5618	0.1566	-0.8805	-0.2654	1.0011	12000
LOR[3,2]	0.2738	0.4853	-0.6969	1.2242	1.0013	5300
LOR[4,2]	0.6934	0.4998	-0.3405	1.6456	1.001	25000
LOR[5,2]	0.4985	0.5103	-0.5428	1.4704	1.0013	6400
LOR[6,2]	0.8821	0.4792	-0.1042	1.7766	1.0021	1800
LOR[7,2]	0.5354	0.4573	-0.4138	1.3911	1.0021	1700
LOR[8,2]	0.4767	0.4544	-0.4706	1.3101	1.0015	3800
LOR[4,3]	0.4196	0.4766	-0.545	1.335	1.0011	18000
LOR[5,3]	0.2247	0.4819	-0.7537	1.1533	1.001	27000
LOR[6,3]	0.6083	0.4546	-0.3218	1.4679	1.0016	3300
LOR[7,3]	0.2615	0.4305	-0.626	1.0724	1.0012	7900
LOR[8,3]	0.2029	0.4267	-0.6826	1.0017	1.0011	16000
LOR[5,4]	-0.1949	0.3439	-0.876	0.4804	1.0012	8100
LOR[6,4]	0.1887	0.355	-0.5366	0.864	1.0023	1500
LOR[7,4]	-0.1581	0.2906	-0.7463	0.3883	1.0024	1400
LOR[8,4]	-0.2167	0.2825	-0.8052	0.3044	1.0015	3800
LOR[6,5]	0.3836	0.3636	-0.3415	1.0913	1.0026	1200
LOR[7,5]	0.0368	0.3025	-0.576	0.6118	1.002	1900
LOR[8,5]	-0.0218	0.2974	-0.6316	0.5319	1.0017	2800
LOR[7,6]	-0.3468	0.2807	-0.8977	0.2039	1.0017	2600
LOR[8,6]	-0.4054	0.2666	-0.9318	0.1112	1.0016	3100
LOR[8,7]	-0.0587	0.1709	-0.4012	0.274	1.0021	1700
LOR[2,1]	-1.1368	0.4766	-2.0487	-0.1591	1.0018	2200
